service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
21055043337-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
23100028037-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
5550011384-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
1984053957-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
14005042470-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
14703040337-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
14020043080-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
50051036256-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
12879045978-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
51100036736-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
1981053628-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
7004018610-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
2365061609-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
14655040267-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
14797029105-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
14721047123-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
1983053877-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
4976007319-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
5550011272-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
14277038026-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
14625040078-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
5361061232-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
1036015824-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
1982053754-20160920093629_v46.5,20160922,20161029,0,1,1,1,0,0,0
17000051930-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
3922046208-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
14595039964-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
50051018072-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
13224043554-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
15456039001-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
5550011334-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
2326060894-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
17000017173-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
1062059463-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
1034047325-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
12962042006-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
23100063067-20160922135358_v46.7,20161030,20161231,0,1,1,1,1,0,0
23500063241-20160922135358_v46.7,20161030,20161231,0,1,1,1,1,0,0
23100017660-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
14258044104-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
14255047709-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
2365061608-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
14312054649-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
4915006279-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
1052047634-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
1982053799-20160920093629_v46.5,20160922,20161029,0,1,1,1,0,0,0
14756054212-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
14267044348-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
13113037264-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
23100035594-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
14798048755-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
14769040859-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
3560003537-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
14030042321-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
3803041142-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
1064059907-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
15487039402-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
14302054552-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
14255047655-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
13049037041-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
1983016736-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
14007036886-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
14267044451-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
15428038622-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
23100035658-20160920093629_v46.5,20160922,20161029,0,0,0,0,1,0,0
3100033942-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
17000035440-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
15471039139-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
3887005804-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
2366061822-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
5580019860-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
2394062624-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
13224043485-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
4915006300-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
21249043122-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
3080046763-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
51100029849-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
4972028450-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
5565034768-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
14248047794-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
3880005479-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
14258044151-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
21009043280-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
14635042733-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
50051018000-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
12858046368-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
5500034679-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
14258044174-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
12843041309-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
23100017753-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
1055016433-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
21250043123-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
14274043994-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
14756054279-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
14020042981-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
14769040901-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
13049037066-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
12839046337-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
1036015898-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
15338038379-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
5550011406-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
12858046460-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
13149037662-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
13224043466-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
4974028691-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
5515058652-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
14030042323-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
50051062776-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
1986054081-20160920093629_v46.5,20160922,20161029,0,1,1,1,0,0,0
14731045751-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
5565034730-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
4974028631-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
3100034420-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,1
8300033631-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,1,1
13115037363-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
13145042809-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
50051036271-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
14274043966-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
14717040410-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
5575003776-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
5550011195-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
3100034308-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
12822046244-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
3100033964-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
17101052444-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
2396063421-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,1
14277037962-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
3100033991-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
14625040049-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
7009027606-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,1,1
3080046780-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
1982053689-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
1052047583-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
3100033915-20160920093629_v46.5,20160922,20161029,0,0,0,0,1,0,0
6008011149-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
13221043652-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
8300033659-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,1,1
6525058382-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
2365061749-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
14797028757-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
14721047268-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
12962042004-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
14769040905-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
14255047721-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
50051063204-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
3060042109-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
17000062908-20160922135358_v46.7,20161030,20161231,0,1,1,1,1,0,0
14625040033-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
12839046308-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
14767040754-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
3813046643-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
1981016567-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
14799048363-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
17000036349-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
14703040336-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
18028052197-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
4974028646-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
51100052074-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
6008032495-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
3945041943-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
4957006791-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
14267044370-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
14255047656-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
14267044521-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
14721047260-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
3922053233-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
3100034022-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
3100034318-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
1052047622-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
14655040224-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
3813046634-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
18256043182-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
4975007244-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
23100063067-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
4955021924-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
12858046418-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
13121037396-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
7001018779-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
18028000068-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
17000017208-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
14731045749-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
4915006366-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
8300033688-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,1,1
17000035335-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
12858046410-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
14007036909-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
1036015824-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
4915006379-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
14625040103-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
14731045718-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
14799048314-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
14798048838-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
14258044259-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
4955021909-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,1
12858046435-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
17000051925-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
3803041093-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
